gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TUBA4A,6.44E-33,-0.191630218,0.271,0.279,2.36E-28
REX1BD,7.61E-33,0.559445885,0.351,0.25,2.79E-28
SESN3,7.72E-33,-1.150117972,0.132,0.213,2.82E-28
RPS6,1.03E-32,-0.222252216,0.98,0.971,3.78E-28
MECP2,1.61E-32,-0.516382422,0.208,0.276,5.89E-28
DDX5,1.64E-32,0.405089038,0.943,0.902,6.00E-28
GCC2,1.80E-32,-0.541043156,0.328,0.426,6.58E-28
PTGER2,1.93E-32,1.554524428,0.168,0.06,7.08E-28
MT-ATP8,2.75E-32,0.31235078,0.747,0.686,1.01E-27
PDE3B,3.29E-32,-0.693811718,0.272,0.383,1.20E-27
CD44,4.19E-32,-0.390508823,0.591,0.669,1.53E-27
PSTPIP1,4.62E-32,0.95412827,0.159,0.083,1.69E-27
BIN2,5.00E-32,0.945190985,0.481,0.295,1.83E-27
CD5,7.75E-32,-0.609132042,0.228,0.315,2.84E-27
ZFP36L1,9.92E-32,-0.195482471,0.578,0.603,3.63E-27
KLRD1,2.55E-31,1.431953018,0.191,0.087,9.32E-27
CALR,3.10E-31,0.205650066,0.479,0.417,1.14E-26
GDI2,3.85E-31,0.741682974,0.334,0.222,1.41E-26
RPS10,4.06E-31,-0.205994421,0.287,0.344,1.49E-26
DOCK4,8.06E-31,-0.997517099,0.058,0.063,2.95E-26
RNF125,1.09E-30,-0.764794778,0.275,0.395,3.99E-26
OSTF1,1.38E-30,1.22674279,0.293,0.137,5.06E-26
AL627171.2,1.52E-30,-0.114276149,0.189,0.208,5.56E-26
CD83,1.87E-30,0.287236237,0.328,0.265,6.85E-26
BAX,2.03E-30,0.504087384,0.327,0.244,7.43E-26
USP3,2.37E-30,-0.435519302,0.431,0.51,8.68E-26
AHNAK,3.56E-30,0.848473127,0.495,0.311,1.30E-25
PSMB10,4.24E-30,1.447588772,0.305,0.13,1.55E-25
TLN1,4.30E-30,0.89614405,0.403,0.238,1.57E-25
IGFBP7,4.46E-30,0.39011861,0.093,0.067,1.63E-25
AC253572.2,4.49E-30,-0.38752466,0.112,0.138,1.64E-25
PKM,5.11E-30,0.721070535,0.412,0.273,1.87E-25
RPLP0,5.45E-30,-0.273805195,0.969,0.962,1.99E-25
RAB33A,6.32E-30,-1.499774035,0.024,0.067,2.31E-25
RPS16,6.74E-30,-0.387792645,0.897,0.918,2.47E-25
RPS24,8.48E-30,-0.190705984,0.987,0.972,3.11E-25
RGCC,1.09E-29,-0.549437558,0.192,0.27,3.97E-25
KLHL24,1.16E-29,-0.536255855,0.157,0.215,4.25E-25
IFRD1,1.61E-29,0.312406788,0.271,0.218,5.89E-25
GAPDH,1.74E-29,0.108208238,0.899,0.866,6.36E-25
TKT,1.77E-29,0.702651634,0.34,0.272,6.47E-25
AKT3,1.78E-29,-0.252980168,0.208,0.241,6.53E-25
RAN,1.93E-29,0.136534686,0.517,0.482,7.08E-25
RPL26,2.50E-29,-0.113382651,0.987,0.97,9.16E-25
SCAF11,4.02E-29,-0.28224247,0.363,0.399,1.47E-24
SCML1,4.15E-29,-1.186795139,0.041,0.088,1.52E-24
TOMM22,4.53E-29,0.259251766,0.3,0.253,1.66E-24
ITGAX,4.69E-29,-0.107798873,0.121,0.089,1.72E-24
RPL18,5.20E-29,-0.175079957,0.982,0.968,1.90E-24
ACAP1,6.68E-29,0.554728234,0.275,0.199,2.45E-24
TUBB4B,7.14E-29,0.439759901,0.268,0.2,2.61E-24
COX4I1,7.96E-29,-0.307071197,0.907,0.928,2.91E-24
WAS,8.33E-29,0.894823924,0.352,0.214,3.05E-24
ATF3,1.24E-28,0.747463246,0.122,0.068,4.55E-24
C12orf57,1.26E-28,0.254175764,0.681,0.665,4.59E-24
NME2,1.32E-28,0.147410092,0.602,0.561,4.81E-24
TGFBR2,1.40E-28,-0.464957083,0.284,0.353,5.12E-24
RPS14,1.48E-28,-0.305496175,0.986,0.97,5.42E-24
SYTL1,2.27E-28,0.940360807,0.27,0.157,8.30E-24
DNAJA1,2.31E-28,0.330154697,0.458,0.39,8.47E-24
UBE2B,2.46E-28,-0.540914422,0.394,0.51,9.00E-24
RPL36A,3.05E-28,-0.251468624,0.931,0.927,1.12E-23
LAMTOR4,3.26E-28,0.60128913,0.46,0.333,1.19E-23
SHISA5,3.77E-28,1.013087528,0.265,0.138,1.38E-23
RAB24,3.82E-28,0.980943418,0.164,0.088,1.40E-23
RNASEH2C,5.85E-28,1.13475978,0.125,0.058,2.14E-23
SYNGR1,6.47E-28,0.103590675,0.052,0.041,2.37E-23
PIM3,8.97E-28,-0.134683458,0.436,0.478,3.28E-23
C12orf75,9.62E-28,0.72505502,0.25,0.167,3.52E-23
UBE2L6,1.07E-27,1.14997476,0.227,0.111,3.91E-23
LEPROTL1,1.16E-27,-0.762617109,0.51,0.691,4.24E-23
ARPC4,2.32E-27,0.846790898,0.361,0.225,8.48E-23
RPL34,2.33E-27,-0.225519227,0.99,0.976,8.53E-23
GABARAPL1,2.46E-27,-0.953095288,0.231,0.353,9.02E-23
ANXA4,2.51E-27,2.026017561,0.087,0.022,9.18E-23
MTSS1,3.18E-27,0.132512407,0.187,0.138,1.16E-22
GIMAP5,3.32E-27,0.279867729,0.137,0.115,1.22E-22
RPS2,3.43E-27,-0.211528347,0.968,0.955,1.26E-22
RPL4,4.53E-27,-0.183549103,0.878,0.891,1.66E-22
KAT6A,4.73E-27,-0.564967489,0.197,0.258,1.73E-22
TNRC6B,4.79E-27,-0.265043702,0.294,0.312,1.75E-22
TNRC6A,4.87E-27,-0.521792505,0.192,0.253,1.78E-22
ISG20,5.68E-27,0.102193791,0.337,0.304,2.08E-22
NR3C1,5.93E-27,-0.544123282,0.36,0.435,2.17E-22
AOAH,7.91E-27,1.313916793,0.266,0.121,2.89E-22
RAB37,8.15E-27,1.499513233,0.102,0.04,2.98E-22
FAM102A,9.50E-27,-0.873343616,0.078,0.136,3.48E-22
SERTAD1,9.57E-27,0.309060251,0.174,0.141,3.50E-22
AC007952.4,1.19E-26,0.237778577,0.206,0.177,4.34E-22
ZEB2,1.41E-26,0.319001523,0.365,0.252,5.15E-22
PLSCR3,1.42E-26,0.524503795,0.244,0.181,5.18E-22
CD52,1.45E-26,0.440614553,0.69,0.611,5.30E-22
TC2N,1.48E-26,-0.168963382,0.195,0.216,5.43E-22
CMSS1,1.63E-26,-1.042481541,0.087,0.157,5.97E-22
HLA-F,1.71E-26,0.58087379,0.385,0.275,6.24E-22
ISG15,2.19E-26,0.40593785,0.164,0.09,8.02E-22
PLEKHJ1,3.13E-26,0.962300661,0.179,0.094,1.15E-21
CERK,3.14E-26,-0.681765928,0.116,0.166,1.15E-21
RPS27A,4.04E-26,-0.232882531,0.988,0.977,1.48E-21
RBM38,4.75E-26,-0.76238864,0.446,0.651,1.74E-21
RPL3,5.53E-26,-0.147087419,0.982,0.973,2.02E-21
HSP90AA1,7.63E-26,0.179671582,0.73,0.682,2.79E-21
LINC00910,8.28E-26,0.47622011,0.215,0.169,3.03E-21
STUB1,1.05E-25,0.715154977,0.284,0.182,3.83E-21
HIST1H1D,1.13E-25,0.635044825,0.401,0.324,4.15E-21
EMD,1.15E-25,-0.60243467,0.263,0.357,4.21E-21
PTPN6,1.44E-25,1.282338368,0.252,0.119,5.26E-21
PRDM1,1.46E-25,0.381117185,0.223,0.173,5.36E-21
CEBPB,1.61E-25,0.40016681,0.297,0.232,5.91E-21
S100A6,1.74E-25,0.516379998,0.817,0.723,6.37E-21
GABARAPL2,1.89E-25,0.632735359,0.28,0.18,6.92E-21
RASSF4,1.93E-25,2.033565612,0.064,0.015,7.08E-21
C1orf162,2.21E-25,1.425306671,0.225,0.102,8.10E-21
RPS21,2.58E-25,-0.215426104,0.986,0.977,9.45E-21
NME4,2.99E-25,0.400559968,0.102,0.076,1.09E-20
TNFSF12,3.06E-25,0.950206701,0.208,0.113,1.12E-20
KRT10,3.49E-25,0.279860768,0.47,0.412,1.28E-20
TSPYL2,3.57E-25,-0.340268489,0.284,0.341,1.30E-20
RPS25,5.37E-25,-0.266015569,0.98,0.967,1.97E-20
GATA3,6.71E-25,-0.370368787,0.156,0.191,2.46E-20
LINC02384,7.40E-25,1.799683406,0.085,0.025,2.71E-20
RPL14,7.51E-25,-0.317320631,0.984,0.975,2.75E-20
ZFYVE28,7.74E-25,-0.765963136,0.099,0.147,2.83E-20
MAP2K2,8.26E-25,0.588277825,0.353,0.248,3.02E-20
SH3BP5,8.87E-25,0.843927033,0.19,0.106,3.25E-20
VAV3,9.95E-25,-0.258824765,0.18,0.177,3.64E-20
KANSL1,1.40E-24,-0.245700387,0.234,0.252,5.11E-20
DBI,1.42E-24,0.487847339,0.376,0.277,5.18E-20
RPS28,2.19E-24,-0.239716428,0.988,0.976,8.03E-20
ROMO1,2.22E-24,0.434491972,0.338,0.257,8.11E-20
S100A11,2.34E-24,0.433292144,0.318,0.234,8.55E-20
CCDC91,2.55E-24,-0.105192691,0.168,0.166,9.32E-20
CD63,2.59E-24,0.548763472,0.291,0.177,9.46E-20
RPS27,2.64E-24,-0.216464884,0.992,0.981,9.67E-20
ZBTB20,3.70E-24,-0.116866503,0.272,0.277,1.35E-19
NAXE,3.81E-24,0.604271071,0.168,0.112,1.39E-19
GIMAP7,3.89E-24,0.348272446,0.254,0.209,1.43E-19
IFI27L2,4.05E-24,0.784735432,0.187,0.11,1.48E-19
SAMSN1,4.55E-24,-0.575656148,0.219,0.289,1.67E-19
PLAC8,4.96E-24,0.43418926,0.245,0.19,1.81E-19
NDUFB7,4.97E-24,0.637010011,0.327,0.218,1.82E-19
H1FX,5.07E-24,0.329155123,0.681,0.666,1.85E-19
NR4A3,5.08E-24,-0.177888548,0.106,0.112,1.86E-19
TMEM41B,5.18E-24,-0.334092077,0.13,0.165,1.90E-19
NKTR,5.32E-24,-0.281562397,0.238,0.273,1.95E-19
PRF1,5.38E-24,1.885002121,0.206,0.086,1.97E-19
RHOC,6.08E-24,0.86924755,0.228,0.138,2.22E-19
MYL6,6.89E-24,0.39140916,0.752,0.665,2.52E-19
CSNK2B,7.75E-24,0.447133326,0.413,0.316,2.84E-19
BRK1,7.82E-24,0.536732881,0.381,0.275,2.86E-19
CFL2,7.91E-24,0.209001639,0.117,0.103,2.89E-19
RPS23,8.44E-24,-0.198481463,0.989,0.974,3.09E-19
JOSD2,9.52E-24,1.163328711,0.117,0.053,3.49E-19
EPC1,9.91E-24,0.134901499,0.628,0.596,3.63E-19
VASP,1.02E-23,1.187899638,0.216,0.103,3.74E-19
RPL29,1.12E-23,-0.125116329,0.986,0.969,4.10E-19
CHRM3-AS2,1.25E-23,0.459475254,0.071,0.055,4.56E-19
RPS18,1.25E-23,-0.291832005,0.989,0.978,4.58E-19
NAPRT,1.30E-23,0.907372235,0.078,0.041,4.76E-19
NFKBIB,1.60E-23,0.126774295,0.173,0.158,5.85E-19
DIP2A,1.84E-23,-0.449215095,0.13,0.161,6.73E-19
INPP4B,1.86E-23,0.790746576,0.201,0.126,6.80E-19
ANK3,1.91E-23,-0.43364811,0.138,0.165,7.00E-19
CTSW,2.61E-23,0.343156384,0.411,0.338,9.54E-19
RPS9,2.96E-23,-0.135094708,0.975,0.962,1.09E-18
GYPC,3.38E-23,-0.480663051,0.446,0.543,1.24E-18
ATP6V0E2,3.58E-23,0.683752272,0.138,0.092,1.31E-18
FAAH2,3.71E-23,-0.953166512,0.058,0.109,1.36E-18
MT-ND2,3.92E-23,-0.272940122,0.83,0.864,1.43E-18
ARRDC1,3.96E-23,0.84162577,0.125,0.068,1.45E-18
ATP5F1E,4.42E-23,0.300091591,0.91,0.874,1.62E-18
LGALS1,4.80E-23,0.677826907,0.411,0.276,1.76E-18
CTSD,5.03E-23,0.438418757,0.373,0.236,1.84E-18
AKR1A1,5.57E-23,0.67442206,0.145,0.091,2.04E-18
PLEKHA2,5.79E-23,-0.872486417,0.136,0.208,2.12E-18
KIAA0355,5.91E-23,-0.677940392,0.048,0.078,2.16E-18
FIBP,6.86E-23,0.871097564,0.147,0.084,2.51E-18
TBC1D5,7.42E-23,0.981095713,0.197,0.1,2.72E-18
PER1,7.84E-23,-0.313764862,0.315,0.379,2.87E-18
CCT4,7.93E-23,0.35233099,0.363,0.296,2.90E-18
TECR,8.11E-23,-0.212073488,0.276,0.303,2.97E-18
RPS15,8.26E-23,-0.184439676,0.988,0.974,3.02E-18
FKBP1A,8.80E-23,0.704639409,0.281,0.189,3.22E-18
LCP1,8.87E-23,0.642003006,0.578,0.435,3.25E-18
TADA3,9.51E-23,1.121902713,0.157,0.075,3.48E-18
AGO2,1.03E-22,-0.727365877,0.132,0.195,3.75E-18
CD320,1.07E-22,1.180967594,0.133,0.065,3.92E-18
ATG16L2,1.08E-22,1.251629777,0.14,0.06,3.96E-18
SCML4,1.13E-22,0.564657989,0.17,0.121,4.12E-18
ADGRG1,1.16E-22,1.712860643,0.128,0.044,4.24E-18
